Location,Latitude,Longitude,Cases
"USA: Nicollet, Minnesota",44.260865419831255,-94.02241752651923,1
"USA: Strafford, New Hampshire",43.1350987,-70.94620785070498,1
"USA: Hamilton, Ohio",31.5393259,-98.0861432,1
"USA: Josephine, Oregon",42.10464455,-123.40436891833849,1
"USA: Dickinson, Iowa",29.4620955,-95.038029,1
"USA: Cass, Minnesota",47.18573075,-94.59817825739535,1
"USA: Cheshire, New Hampshire",42.925989400000006,-72.3044688992616,3
"USA: Butte, California",39.50664045,-121.56416851861991,1
"USA: Klamath, Oregon",42.25839275,-121.78539920502944,1
"USA: Riverside, California",34.0047411,-117.3358824,1
"USA: Stevens, Minnesota",45.5902344,-95.89930909498798,1
"USA: Tulare, California",36.32808915,-119.38679619815815,1
"USA: Jackson, Oregon",35.33072570733032,-83.20864597256254,1
"USA: Brown, Minnesota",44.3132448,-94.4615849,1
"USA: Lake, California",41.8842639,-87.6964047,1
"USA: Waseca, Minnesota",44.1165577,-93.6992313,1
"USA: O'Brien, Iowa",43.18263279114695,-95.6494977064064,2
"USA: Lexington,MA",38.0464066,-84.4970393,1
USA: Colorado,38.7251776,-105.607716,6
USA: MD,39.5162401,-76.9382069,22
"USA: Erie County, NY",42.971301249999996,-78.91816944956798,2
"USA: Nassau County, NY",40.726981300000006,-73.70933686877962,1
USA: Washington DC,38.8950368,-77.0365427,1
USA: District of Columbia,38.89384735,-76.98804281910948,1
"USA: El_Cajon,California",32.7448904,-116.9339233,10
"USA: La_Jolla,California",32.87924375,-117.23112468377349,1
"USA: San_Diego,California",32.8506991,-116.97996519652708,59
"USA: Carlsbad,California",33.1277769,-117.3112743,3
"USA: Chula_Vista,California",32.61589026195578,-116.98833977691781,4
"USA: Ramona,California",33.945558750000004,-117.4367895,8
"USA: Poway,California",32.9795776,-117.0606876,4
"USA: Oceanside,California",33.19178617517166,-117.3437014835755,3
"USA: Santee,California",32.8508015,-116.97991150519167,8
"USA: Valley_Center,California",34.08927855,-117.83112434063725,3
"USA: Fallbrook,California",33.3826535,-117.2515346,1
"USA: La_Mesa,California",32.7604324,-117.033575,2
"USA: Del_Mar,California",37.7866951,-122.494827,4
"USA: San_Marcos,California",33.16310695,-117.20177883976902,1
"USA: Encinitas,California",33.0496846,-117.2899136,2
"USA: Oroville,California",39.50664045,-121.56416851861991,1
"USA: Modesto,California",37.6484951,-121.0269676,3
"USA: Gridley,California",39.362757000760084,-121.7026551798918,1
"USA: Fresno,California",36.728212,-120.666589,6
"USA: Redlands,California",34.0570739,-117.179448,1
"USA: San_Andreas,California",38.19719521392623,-120.67924826015025,1
"USA: Turlock,California",37.5262549,-120.85577220454176,5
"USA: Agoura_Hills,California",34.1475824,-118.7830161,1
"USA: Bakersfield,California",35.449040749999995,-119.08108393012085,141
"USA: Ceres,California",37.5953596,-120.9698336,2
"USA: Roseville,California",32.7268449,-117.2269499755431,2
"USA: Stockton,California",37.989284,-121.3223764,1
"USA: Riverside,California",34.0047411,-117.3358824,1
"USA: Visalia,California",36.32808915,-119.38679619815815,2
"USA: Northridge,California",34.2455346,-118.52632210641266,2
"USA: Atwater,California",37.363957,-120.5651165915884,4
"USA: Beverly_Hills,California",34.0690102,-118.399584,1
"USA: Redding,California",40.585530826956266,-122.3927965471564,2
"USA: Redondo,California",34.1200134,-117.4947324,1
"USA: West_Covina,California",34.0898788,-117.9413357,1
"USA: Norco,California",33.94956002872839,-117.52814866257849,2
"USA: Temple_City,California",37.7803263,-122.4754415,1
"USA: Fontana,California",34.1200134,-117.4947324,1
"USA: Corona,California",33.7555544,-117.4768183921877,1
"USA: Thousand_Oaks,California",34.22655655,-118.87852167930592,1
"USA: Danville,California",37.790993549999996,-121.98910358008743,1
"USA: Simi_Valley,California",34.2704045,-118.7854212,1
"USA: Lakewood,California",33.886756899999995,-118.14309679781243,2
"USA: Montebello,California",34.01110227552017,-118.11794990125655,1
"USA: Long_Beach,California",33.80124655,-118.14610328331426,1
"USA: Encino,California",34.1855128,-118.51045285593327,2
"USA: Parlier,California",36.5987047,-119.51626440456822,1
"USA: South_Whittier,California",33.942455100000004,-118.02136252861479,1
"USA: Van_Nuys,California",34.1943707,-118.46591270239938,1
"USA: Sanger,California",36.72122886347849,-119.54207803040602,1
"USA: Dos_Palos,California",36.988150781397316,-120.62906860102555,3
"USA: San_Fernando,California",34.123207050000005,-118.25406195931629,1
"USA: North_Lakeport,California",39.0437658,-122.9159693,1
"USA: Yuba_City,California",39.1461166,-121.64000245,2
"USA: Lake_Balboa,California",34.1855128,-118.51045285593327,1
"USA: Ontario,California",34.07132075,-117.5929394914029,2
"USA: Marysville,California",39.1358329,-121.58670698378708,2
"USA: Livermore,California",37.7164532,-121.719372,1
"USA: Lancaster,California",34.6764477,-118.169527,1
"USA: Kingsburg,California",36.51410299145718,-119.55399563034003,1
"USA: Oakley,California",37.997237,-121.73193441248941,1
"USA: Glenn,California",39.60652695,-122.26268788308772,1
"USA: Fremont,California",37.4914025,-121.930019,1
"USA: Rowland,California",33.9939324,-117.931025,1
"USA: Bellflower,California",33.886756899999995,-118.14309679781243,1
"USA: Shafter,California",35.5329546,-119.1854344,7
"USA: Wasco,California",35.5776473,-119.33224195025475,1
USA: Denton Co. TX,32.9953979,-96.8557887,12
USA: Ellis Co. TX,32.41752365,-96.84028697089391,1
USA: Dallas Co. TX,32.77480490000001,-96.86081128092721,23
USA: Tarrant Co. TX,32.7378178,-97.43351246826438,1
USA: Collin Co. TX,33.079005,-96.73051553537051,6
USA: Montgomery Co. TX,30.1867984,-95.49013537017454,10
USA: Fort Bend Co. TX,29.5591189,-95.76121582253487,8
USA: El Paso Co. TX,31.6824197,-106.31398184745728,6
USA: Travis Co. TX,30.166608500000002,-97.789011,3
USA: Williamson Co. TX,30.53326705,-97.61415563111032,2
"USA: VA, Norfolk County",36.7847836,-76.4023079803319,40
"USA: CO, Fort Collins (80526)",40.543634659604976,-105.1042352777514,2
"USA: CO, Larimer County",40.6810174,-105.4726907,3
"USA: CO, Weld County",40.5632344,-104.4835287,13
"USA: CO, Fort Collins (80525)",40.54614768645395,-105.0505555621733,1
"USA: CO, Fort Collins",40.5871782,-105.0770113,2
USA: CO,38.7251776,-105.607716,6
"USA: CO, Ft. Collins (80526)",40.543634659604976,-105.1042352777514,1
"USA: GA, Garden City, Chatham",32.1004833,-81.1542789,2
"USA: GA, Atlanta, Fulton County",33.77647075,-84.52372077837555,3
"USA: GA, Decatur, Dekalb County",33.77406205,-84.29765568502646,2
"USA: GA, Muscogee County",32.4840651,-84.8502167,1
"USA: GA, Norcross, Gwinnett",33.943766,-84.2106515,1
"USA: GA, Savannah, Chatham",32.071913800000004,-81.09703834339959,1
"USA: GA, Dekalb County",33.7575613,-84.2186508,1
"USA: GA, Henry County",33.4519942,-84.1367771,1
"USA: GA, Lowndes County",30.8195619,-83.2628255,1
"USA: GA, Fulton County",34.0581147,-84.2961712,1
"USA: GA, Dekalb County County",33.7575613,-84.2186508,2
USA: Wisconsin,44.4308975,-89.6884637,2
USA: AZ,34.395342,-111.763275,21
"USA: Texas, Harris County",29.8119769,-95.3741247,2
"USA: Nassau Co., NY",40.726981300000006,-73.70933686877962,41
"USA: Onondaga Co., NY",43.06922635,-76.17248945485272,39
"USA: Albany Co., NY",42.6840353,-73.84777478170602,18
"USA: Oneida Co., NY",43.094492,-75.2777627562189,2
"USA: Westchester Co., NY",41.068125,-73.8142505,28
